tipo_elem;distrito;id;cod_cent;nombre;x;y;longitud;latitud
URB;0.0;5385;94001;REAL PINTO S-N(LAGUNA MARQUESADO-LAGUNA MASQUESADO);439401,952109883;4464901,55426055;-3.7133827190268702;40.33245364003779
URB;0.0;5009;95028;Pº EXTREMADURA O-E(NAVAS DEL REY-LA MILAGROSA);437213,219154415;4473454,59124041;-3.7399896111940927;40.40934166341146
URB;0.0;4055;10007;O´Donnell, 16 O-E - Lope de Rueda-Narvaez;442538,122697889;4474769,52907357;-3.6773547284732757;40.42157191372288
URB;0.0;6417;64402;C/, Julian Camarillo - Albadalejo-Av, Canillejas a Vicalvaro;447856,263627938;4476705,65008674;-3.614827445795951;40.43936394298925
URB;0.0;3850;01011;(AFOROS) Genova O-E - General CastaÑos-Pl, Colon;441254,990156824;4475271,45945618;-3.692525499852282;40.426003944611836
URB;0.0;3873;02021;Av, Mediterraneo O-E - Sanchez Barcaiztegui-Pl, Conde Casal;442960,28032495;4473128,40965568;-3.6722315580330127;40.40681687892987
URB;0.0;3892;02045;Av, Ciudad Barcelona O-E - Antonio Nebrija-Comercio;442131,528085776;4472893,18541482;-3.681976632868775;40.40464065972821
URB;0.0;3893;02046;Av, Menendez Pelayo N-S - Granada-Av, Ciudad Barcelona);442264,660724713;4472944,67233849;-3.680412447744631;40.40511372422881
URB;0.0;3894;02047;Av, Ciudad Barcelona O-E - Juan Urbieta-Comercio;442295,403815277;4472816,9989673;-3.680038588600029;40.40396570551236
M30;0.0;6652;PM10343;PM10343;443741,246000283;4478411,98502004;-3.663495846009851;40.45446724427055
M30;0.0;6660;PM10446;PM10446;443897,668689037;4477375,9012923;-3.661559635416434;40.44514425903971
M30;0.0;10265;PM10472;PM10472;443962,650491342;4477279,27386215;-3.6607848926823845;40.44427817249574
URB;0.0;3998;07012;Jose Ortega y Gasset O-E - Gral, Diaz Polier-Conde PeÑalver;442625,539228201;4475696,23380377;-3.6764079651715056;40.429926173914666
URB;0.0;4052;10004;O´Donnell, 45 E-O - Fernan Gonzalez-Narvaez;442776,094171763;4474759,55966079;-3.674548832557286;40.421498503912524
URB;0.0;4053;10005;O´Donnell, 21 E-O - Lope de Rueda-Antonio AcuÑa;442505,933663119;4474778,10965675;-3.6777349201445784;40.42164698848196
URB;0.0;5561;61049;Potosi O-E - Bolivia-Principe de Vergara;442529,301148397;4478715,48939429;-3.677815632541021;40.45711843061967
URB;0.0;3927;04021;Pl, CataluÑa (Isleta Central) O-E - Dr,Arce-Principe Vergara;442444,004392383;4477775,78889457;-3.6787363823334056;40.448647271150186
URB;0.0;10076;04027;Ramon y Cajal E-O - Pardo Bazan-Pl,Virgen Guadalupana;442963,06583623;4478133,35398158;-3.6726478022043088;40.45190416448176
URB;0.0;3933;05005;Lopez de Hoyos, 21 E-O - Velazquez-Maria Molina;441978,451690783;4476658,83200754;-3.6841240802234654;40.43855283854322
URB;0.0;3934;05006;Concha Espina, 39 O-E - Pl, Sagrados Corazone-Serrano;442059,01726871;4478118,41003143;-3.683307348527806;40.45170701476738
URB;0.0;9888;09037;Jorge Juan O-E - Castello-Principe Vergara;442206,890418189;4475002,50037121;-3.6812801733226426;40.42364769659906
URB;0.0;5557;61045;Alfonso XIII O-E - Victor Andres Belaunde-Bolivia;442529,2785176;4479069,99376041;-3.6778479965214927;40.46031196561624
M30;0.0;3818;PM10501;PM10501;444087,17664981;4476901,52954299;-3.659283341893489;40.440883641197495
M30;0.0;3815;PM10831;PM10831;443913,62601134;4473931,04483769;-3.661067534370421;40.41411223997963
M30;0.0;3491;PM10861;PM10861;443761,33842761;4473612,06275709;-3.662834176629982;40.41122839634951
M30;0.0;3492;PM10862;PM10862;443730,425119869;4473607,09338345;-3.6631980612016193;40.4111815402817
M30;0.0;6671;PM10907;PM10907;443550,078766873;4473087,48599237;-3.665277408663118;40.40648841698444
M30;0.0;6672;PM10941;PM10941;443464,125183128;4472893,53272111;-3.6662731006672367;40.40473534485499
M30;0.0;6674;PM10945;PM10945;443454,214320838;4472896,6900339;-3.6663901728202166;40.404763114640566
URB;0.0;3907;02065;Cavanilles O-E - Sanchez Barcaiztegui-Dr, Esquerdo;442882,492267101;4472885,88160368;-3.673126489745409;40.40462672042584
M30;0.0;7124;PM10948;PM10948;443437,260436929;4472898,22150163;-3.666590097065009;40.40477575932858
M30;0.0;6676;PM10981;PM10981;443332,509512789;4472443,48968904;-3.6677840214377184;40.40067215700496
URB;0.0;6616;79020;Av, Burgos - Quintanavides-Puerto de Somport;443437,094085086;4482995,29680608;-3.6674914335395727;40.495735129617714
URB;0.0;6617;79021;Av, Burgos - Puerto de Somport-Cno, Fuencarral a Hortaleza;443359,122097118;4482919,33195786;-3.668404720336969;40.49504548889954
M30;0.0;6677;PM10982;PM10982;443313,227184388;4472448,36201253;-3.668011668505188;40.40071473718887
M30;0.0;6678;PM10985;PM10985;443324,439401403;4472445,87766086;-3.6678793281482838;40.40069311996361
M30;0.0;6827;18NC20PM01;18NC20PM01;438776,656163558;4474436,92501574;-3.7216592632740033;40.41830741299563
URB;0.0;3890;02303;(MICRO) Dr, Esquerdo N-S - Delante Grupo 1 Salida;443214,867991132;4474374,8938909;-3.669342607399851;40.418063289929314
M30;0.0;1016;18NC52PM01;18NC52PM01;438755,748520188;4474674,15860118;-3.7219285343413793;40.42044297704859
URB;0.0;4000;07014;Jose Ortega y Gasset E-O - Montesa-Martires Concepcionistas;442988,86926783;4475671,50032445;-3.6721225997012983;40.429728342837976
M30;0.0;1015;18NC52PM02;18NC52PM02;438763,057485397;4474679,05976765;-3.7218428568976516;40.420487666775195
URB;0.0;10013;07016;Francisco Silvela N-S - Padilla-Ortega y Gasset;443045,328774227;4475835,15085747;-3.671471686933719;40.43120645802434
URB;0.0;7040;09035;(MICRO) Alcala O-E - Pte, Ventas-Av,Daroca;443981,832082757;4475849,8584078;-3.6604327026293424;40.4314025483357
URB;0.0;10024;02305; Pl, Conde Casal - Delante del Grupo 12;443166,796879702;4473085,1921172;-3.6697939919389984;40.40644167544946
URB;0.0;4584;32300;(MICRO)GTA PIEDRAFITA CEBRERO(ENTREG,10 Y 12)((P,M,3);439630,379956946;4480245,55053382;-3.7121489378279793;40.47069627495428
M30;0.0;6648;PM10241;PM10241;443472,740476978;4479401,30134039;-3.6667504063938074;40.46336125707824
URB;0.0;3942;05014;Hermanos Becquer N-S - General Oraa-Serrano;441702,945413007;4476378,56741065;-3.6873466032477813;40.43600881487565
M30;0.0;6649;PM10242;PM10242;443453,056734211;4479397,29238222;-3.666982207972075;40.46332380309748
M30;0.0;6651;PM10342;PM10342;443722,39634797;4478406,47529697;-3.6637176496149286;40.45441633384455
M30;0.0;6685;PM11201;PM11201;441891,725397504;4470593,4173504;-3.6845926493519983;40.38390639885837
M30;0.0;6686;PM11208;PM11208;441891,5325464;4470580,61393106;-3.684593753534986;40.383791045047886
URB;0.0;4057;10009;Ibiza, 25 E-O - Maiquez-Narvaez;442715,225361506;4474404,19503069;-3.6752342913741725;40.41829300613737
URB;0.0;4058;10010;Ibiza, 14 O-E - Menendez Pelayo-Narvaez;442579,632199088;4474395,89937461;-3.676831717700083;40.41820892963756
URB;0.0;4182;13040;Sta Maria Cabeza N-S - Embajadores-PeÑuelas;440618,849583998;4472452,13823783;-3.699761075040101;40.40056097261608
URB;0.0;4190;13050;Mendez Alvaro S-N - Murcia-Gta, Carlos V;441277,090054202;4473093,20179854;-3.692063900485861;40.40638268318494
M30;0.0;7130;PM13212;PM13212;442795,211481003;4481634,48879947;-3.674942881998068;40.48343241494215
M30;0.0;7013;PM13221;PM13221;443008,25226994;4481803,18158234;-3.672444604939121;40.484966722118564
URB;0.0;7034;02304;(MICRO) Ibiza E-O - Dr, Esquedo-Maiquez(Delante Grupo 4);443137,580381043;4474373,92736899;-3.6702534731703125;40.41804930556783
URB;0.0;3461;04005;Ramon y Cajal, 69 O-E - Gabriel Galan-Alfonso XIII;443321,400033962;4478184,78968115;-3.6684267611296812;40.45239203392246
URB;0.0;3913;04007;Principe Vergara N-S - Pl, Republica Ecuador-Concha Espina;442556,784483026;4478269,71793573;-3.6774511787246484;40.453104615925184
URB;0.0;4084;11011;Jaime el Conquistador S-N - Cte, Benitez-Torres Miranda;440768,422007806;4472135,95278025;-3.697969186566823;40.39772326569153
URB;0.0;4088;11017;Divino Valles O-E - Embajadores-Pº Delicias;440947,779743996;4471978,79281989;-3.6958412546717554;40.39632022503226
M30;0.0;6712;PM30002;PM30002;443164,353106208;4482609,17555251;-3.670675170892304;40.49223815644884
M30;0.0;6713;PM20021;PM20021;442904,820093264;4481464,08739179;-3.6736343803870826;40.48190491127059
M30;0.0;6869;14RA02PM01;14RA02PM01;440411,752405344;4471734,05484917;-3.7021341782382873;40.394077320862
M30;0.0;3821;PM20025;PM20025;442925,120742158;4481473,97720451;-3.673395770268673;40.48199539860855
URB;0.0;4305;16033;(AFOROS) Hortaleza, 11 O-E - Gran Via-Infantas;440523,170963085;4474633,75914343;-3.7010924196011032;40.420207246456776
URB;0.0;4585;33001;P: CASTELLANA N-S(M-30 -AV, MONFORTE DE  LEMOS);441780,821978764;4480860,2991203;-3.686839480391395;40.476387691327936
M30;0.0;3822;PM20026;PM20026;442913,469786535;4481463,11997807;-3.6735322470298537;40.48189679112868
URB;0.0;9841;03001;Valle de Mena S-E - Acc,Ramon Castroviejo-Gta,Isaac Rabin;438338,115544704;4480454,49708179;-3.7274122659947113;40.4724836124552
URB;0.0;3909;04001;Concha Espina, 57 O-E - Serrano-Rodriguez Marin;442328,472341156;4478106,53458111;-3.6801287555040902;40.451618774629594
URB;0.0;3786;59022;Av, Badajoz - Torrelaguna-Martinez Villergas;444546,194546472;4477063,74420552;-3.6538854316007017;40.44237569476493
URB;0.0;3926;04020;Concha Espina, 57 E-O - Rodriguez Marin-Serrano;442331,469190783;4478116,8350236;-3.6800943510668245;40.451711773695976
URB;0.0;3940;05012;Goya, 9 E-O - Serrano-Pº Castellana;441604,187975368;4475214,85727885;-3.6884040058542986;40.425518628630805
URB;0.0;4111;12003;Pº Delicias O-E - Batalla del Salado-Pº Delicias;441039,551002067;4472853,09673261;-3.6948409187523104;40.40420290630208
URB;0.0;4147;12041;Ancora E-O - General Lacy-Rafael Riego;441362,024599902;4472703,25765;-3.6910270696632717;40.40287585228172
URB;0.0;4149;12043;Ancora E-O - Rafael Riego-Pº Delicias;441247,468174099;4472712,54256994;-3.692377838942625;40.40295142008107
URB;0.0;4159;13008;Alfonso XII S-N - Casado Alisal-Academia;441559,324358886;4473958,35110917;-3.6888173883232485;40.414196249145824
URB;0.0;5867;41406;C/, Ramon Perez de Ayala  - Ramon Perez de Ayala-El Bosco;444684,144843873;4472571,18682016;-3.6518680938686923;40.40191341502973
URB;0.0;6130;52408;Acceso desde Via Servicio A-3 - El Bosco-A-3;444472,3918186;4472849,66297835;-3.654387630696648;40.404407996710525
URB;0.0;6319;56039;C/, Gregorio Sanchez Herraez - Las Carcavas-Gregorio Sanchez Herraez;446082,900928904;4480989,35543648;-3.6360998537896716;40.47784074314673
URB;0.0;6376;59023;Av, Badajoz - Martinez Villergas-Salvador de Madariaga;444380,672657678;4476928,15143132;-3.655825196492061;40.44114314859338
URB;0.0;3397;23013;Cea Bermudez O-E - Andres Mellado-Guzman el Bueno;439447,897745447;4476730,73682763;-3.713966196462556;40.439020175110954
M30;0.0;7117;14NC58PM01;14NC58PM01;439867,079517007;4472029,04716743;-3.708579507180571;40.396695611449246
M30;0.0;6714;PM20042;PM20042;442865,685522499;4480776,25852168;-3.674034102822949;40.47570596083287
URB;0.0;3396;23012;Cea Bermudez E-O - San Gabriel-San Francisco de Sales;439245,077843593;4476756,38438309;-3.716359909349948;40.43923642551271
M30;0.0;6716;PM20152;PM20152;443088,541285026;4480262,46625128;-3.671359064108727;40.47109279353078
M30;0.0;6717;PM20231;PM20231;443348,737243997;4479752,99296681;-3.668244353518229;40.46652101225712
M30;0.0;6718;PM20232;PM20232;443372,832470131;4479757,31098094;-3.667960535840799;40.46656155365889
URB;0.0;5548;61036;Principe de Vergara S-N - Pl,Republica Ecuador-Colombia;442593,691449825;4478581,16187927;-3.6770441095029582;40.4559127970301
URB;0.0;5558;61046;Alfonso XIII E-O - Torpedero Tucuman-Encinas;442767,783885078;4479074,67904457;-3.675035513149372;40.460370634268024
URB;0.0;5559;61047;Alberto Alcocer O-E - Victor A,Belaunde-Principe de Vergara;442347,624301348;4478870,73662286;-3.679972306113407;40.458504384150956
URB;0.0;3717;23003;Isaac Peral S-N - Donoso Cortes-Cea Bermudez;439109,437862959;4476535,29235978;-3.717937931262364;40.43723481693331
M30;0.0;6870;13XC97PM01;13XC97PM01;440425,967306403;4471751,02248177;-3.7019682819075355;40.39423119082257
M30;0.0;1019;13XL49PM01;13XL49PM01;440866,291143702;4470983,1387667;-3.6967089623027585;40.38734506997061
URB;0.0;6378;59025;C/, Salvador de Madariaga - Verdaguer y Garcia-Esteban Mora;444268,020157978;4476677,95999603;-3.657131488647216;40.4388817506043
URB;0.0;3903;02060;(TACTICO) Dr, Esquerdo N-S - Cavanilles-Valderribas (Giro Izq,);442902,240290888;4472750,81704421;-3.6728816594076754;40.4034113392054
URB;0.0;4475;23014;Guzman el Bueno N-S - Melquiades Alvarez-Cea Bermudez;439552,169801312;4476864,64052001;-3.712749560683387;40.44023402170203
URB;0.0;3943;05015;Hermanos Becquer S-N - Serrano-General Oraa;441717,489473088;4476379,53863383;-3.687175223472574;40.436018583485414
URB;0.0;3876;02024;Alcalde Sainz Baranda O-E - Lozoya-Esplandiu;443403,869172179;4474306,86980563;-3.667108886863358;40.41746336763263
URB;0.0;3945;05017;Ayala E-O - Serrano-Pº Castellana;441671,385099568;4475477,56936693;-3.6876360034067672;40.427889980782965
