idelem;tipo_elem;identif;nombre;st_x;st_y
1044;PUNTOS DE MEDIDA M-30;03FT08PM01;03FT08PM01;438.963.314.634.858;44.747.344.416.665
3600;PUNTOS DE MEDIDA M-30;PM30901;PM30901;443.729.047.369.186;447.326.824.999.887
3705;PUNTOS DE MEDIDA M-30;PM41451;PM41451;439.858.261.097.366;447.157.421.949.934
6823;PUNTOS DE MEDIDA M-30;PM41453;PM41453;439.188.095.183.064;447.089.503.379.762
7033;PUNTOS DE MEDIDA URBANOS;1015;Pº Castellana S-N - Pl. Colon-Hermosilla;441.569.555.897.254;447.550.242.536.523
3864;PUNTOS DE MEDIDA URBANOS;2009;Dr. Esquedo N-S - Samaria-Av. Nazaret (De Frente);443.278.122.806.687;447.397.840.115.568
4237;PUNTOS DE MEDIDA URBANOS;14037;Moratines O-E - Martin Vargas-Embajadores;440.515.953.264.391;447.299.494.936.248
5597;PUNTOS DE MEDIDA URBANOS;61090;Alfonso XIII O-E - Paraguay-Ricardo Calvo;443.241.345.233.115;44.792.554.800.699
5586;PUNTOS DE MEDIDA URBANOS;61120;Acceso M-30 N-E(Superficie) - M-30 Norte-Pl.José MªSoler;443.529.430.869.472;447.925.534.573.733
5967;PUNTOS DE MEDIDA URBANOS;45021;Pl. Alsacia - Malmoe-Hermanos García Noblejas;447.211.606.213.573;447.443.559.451.684
5993;PUNTOS DE MEDIDA URBANOS;45049;Pl. Alsacia - Fuente Carrantona-Malmoe;447.195.526.932.339;447.445.956.198.714
6371;PUNTOS DE MEDIDA URBANOS;59017;C/. Salvador de Madariaga - Esteban Mora-Verdaguer y García;444.384.173.429.622;44.768.876.611.661
6375;PUNTOS DE MEDIDA URBANOS;59021;Av. Badajoz - Aristóteles-Torrelaguna;444.747.109.372.472;447.734.786.053.692
6398;PUNTOS DE MEDIDA URBANOS;64011;Av. Canillejas a Vicálvaro - Pobladura del Valle-Julia Garcia Boutan;448.273.625.378.504;447.564.997.776.022
6419;PUNTOS DE MEDIDA URBANOS;64405;Av. Canillejas a Vicálvaro a Suecia - Aquitania-Av. Guadalajara;44.825.245.607.866;447.491.965.496.518
3810;PUNTOS DE MEDIDA URBANOS;65027;AV. Daroca 106 O-E - Fco. Largo Caballeroo-Fuente Carranton;446.846.191.685.541;447.438.688.330.761
5315;PUNTOS DE MEDIDA URBANOS;86012;RAFAEL FINAT N-S(GRAL.SALIQUET-AVIACION);434.477.249.234.805;446.985.410.050.399
6511;PUNTOS DE MEDIDA URBANOS;71009;C/. San Romualdo - Albasanz-Alcalá  ;44.728.898.841.201;44.770.721.107.764
5061;PUNTOS DE MEDIDA URBANOS;49035;OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS);438.065.301.302.051;44.713.114.632.127
5119;PUNTOS DE MEDIDA URBANOS;51020;LAGUNA S-N(MU?OZ GRANDES-N.SRA.FATIMA);437.123.641.835.444;447.124.447.118.359
3771;PUNTOS DE MEDIDA URBANOS;80006;POBLADOS E-O(GUARE?A-PADRE PIQUER);435.069.744.034.187;447.148.107.022.769
5238;PUNTOS DE MEDIDA URBANOS;84003;AV.CARABANCHEL ALTO S-N(M-40-AV.PESETA);43.609.220.032.378;44.682.948.381.552
5265;PUNTOS DE MEDIDA URBANOS;84030;P.SAN JOSE S-N(PARQUE GARAJONAI-JACOBEO);435.490.121.810.796;446.870.070.981.403
5280;PUNTOS DE MEDIDA URBANOS;85006;GRAL RICARDOS  O-E;439.190.235.530.835;447.223.557.350.915
5385;PUNTOS DE MEDIDA URBANOS;94001;R. PINTO SO-NE(LAG DALGA-LAG MARQUESADO);439.511.427.869.559;446.510.903.812.031
5015;PUNTOS DE MEDIDA URBANOS;95034;CARAMUEL S-N(AV.CAPRICHOS-PABLO SARASATE;438.180.588.428.318;447.322.557.066.985
5107;PUNTOS DE MEDIDA URBANOS;96053;PINZON  N-S (TUCAN-OCA);437.291.717.112.315;447.142.854.500.442
5162;PUNTOS DE MEDIDA URBANOS;98031;CARAB-ARAVACA E-O(SEB.ALVARO-VILLAVICI.);434.447.220.509.014;447.222.477.060.489
9933;PUNTOS DE MEDIDA URBANOS;29019;RAMIRO MAEZTU E-O(DIRECCISN NORTE)(MORERAS -AV.GREGORIO AMO);438.701.379.589.277;447.794.008.522.483
7073;PUNTOS DE MEDIDA URBANOS;30027;MARTMN FIERRO S-N(OBISPO TREJO - JUAN HERRERA);438.042.931.327.835;447.670.897.845.251
4508;PUNTOS DE MEDIDA URBANOS;31015;FRANCOS RODRIGUEZ O-E(PIRINEOS-POLICIA);43.944.008.611.765;447.910.600.714.473
4509;PUNTOS DE MEDIDA URBANOS;31016; FRANCOS RODRIGUEZ E-O(COLEGIO PALOMA-DEHESA  VILLA);439.348.876.527.186;447.914.970.730.924
5419;PUNTOS DE MEDIDA URBANOS;43006;AV.MONFORTE DE LEMOS O-E(PL.ARTEIJO-GINZO DE LIMIA);440.277.828.828.504;448.137.151.698.998
5420;PUNTOS DE MEDIDA URBANOS;43008;AV.MONFORTE DE LEMOS E-O(FINISTERRE-GINZO DE LIMIA);440.525.619.746.967;448.144.209.052.731
5418;PUNTOS DE MEDIDA URBANOS;43005;AV.MONFORTE DE LEMOS E-O(PL.ARTEIJO-PL.FONSAGRADA);440.159.363.857.155;448.135.318.287.203
7029;PUNTOS DE MEDIDA URBANOS;1012; Pº Recoletos  N-S -  (PL. Colon-Bárbara Braganza);441.510.905.106.017;447.527.977.323.341
4192;PUNTOS DE MEDIDA URBANOS;2016;Dr. Esquerdo N-S - Angel Ganivet-Av. Mediterraneo;443.247.618.984.551;447.349.463.091.626
3934;PUNTOS DE MEDIDA URBANOS;5006;Concha Espina, 39 O-E - Pl. Sagrados Corazone-Serrano;442.168.423.651.791;447.832.589.170.128
